"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2013年9月12日","2,255.60","2,236.17","2,270.27","2,226.29","20.97B","0.64%"
"2013年9月11日","2,241.27","2,244.96","2,258.07","2,233.00","24.43B","0.15%"
"2013年9月10日","2,237.98","2,214.81","2,238.55","2,202.82","23.72B","1.15%"
"2013年9月9日","2,212.52","2,151.35","2,218.53","2,151.35","21.94B","3.39%"
"2013年9月6日","2,139.99","2,119.33","2,143.24","2,119.02","14.33B","0.83%"
"2013年9月5日","2,122.43","2,125.25","2,127.86","2,115.24","12.65B","-0.24%"
"2013年9月4日","2,127.62","2,121.68","2,133.00","2,115.75","14.20B","0.21%"
"2013年9月3日","2,123.11","2,100.45","2,123.85","2,095.45","13.89B","1.18%"
"2013年9月2日","2,098.45","2,104.09","2,108.68","2,078.46","14.92B","0.00%"
"2013年8月30日","2,098.38","2,097.22","2,114.39","2,089.10","17.01B","0.05%"
"2013年8月29日","2,097.23","2,108.44","2,110.89","2,088.24","13.33B","-0.19%"
"2013年8月28日","2,101.30","2,092.31","2,113.82","2,080.86","16.14B","-0.11%"
"2013年8月27日","2,103.57","2,095.44","2,105.38","2,090.43","12.63B","0.34%"
"2013年8月26日","2,096.47","2,061.42","2,097.34","2,056.13","11.99B","1.90%"
"2013年8月23日","2,057.46","2,075.93","2,079.85","2,029.36","11.24B","-0.47%"
"2013年8月22日","2,067.12","2,069.31","2,083.33","2,062.37","9.09B","-0.28%"
"2013年8月21日","2,072.96","2,076.27","2,076.32","2,056.91","8.74B","0.02%"
"2013年8月20日","2,072.59","2,081.97","2,098.98","2,066.07","10.74B","-0.62%"
"2013年8月19日","2,085.60","2,055.13","2,091.13","2,052.70","9.74B","0.83%"
"2013年8月16日","2,068.45","2,075.98","2,198.85","2,061.65","15.31B","-0.65%"
"2013年8月15日","2,081.88","2,099.28","2,108.41","2,079.97","9.94B","-0.87%"
"2013年8月14日","2,100.14","2,109.22","2,122.97","2,093.04","11.44B","-0.29%"
"2013年8月13日","2,106.16","2,101.32","2,106.40","2,093.80","11.77B","0.23%"
"2013年8月12日","2,101.28","2,058.42","2,102.35","2,055.72","13.51B","2.39%"
"2013年8月9日","2,052.23","2,052.24","2,061.71","2,030.13","9.53B","0.36%"
"2013年8月8日","2,044.90","2,044.44","2,058.56","2,037.25","8.41B","-0.09%"
"2013年8月7日","2,046.78","2,056.37","2,069.56","2,043.75","10.77B","-0.67%"
"2013年8月6日","2,060.50","2,043.65","2,066.74","2,034.96","10.56B","0.49%"
"2013年8月5日","2,050.48","2,031.72","2,050.91","2,025.23","8.55B","1.04%"
"2013年8月2日","2,029.42","2,039.51","2,047.08","2,025.65","9.36B","0.02%"
"2013年8月1日","2,029.07","2,000.82","2,029.93","1,997.06","9.13B","1.77%"
"2013年7月31日","1,993.80","2,000.79","2,015.47","1,987.88","7.02B","0.19%"
"2013年7月30日","1,990.06","1,981.45","2,006.23","1,965.36","7.72B","0.70%"
"2013年7月29日","1,976.31","1,997.84","1,997.84","1,969.85","7.87B","-1.72%"
"2013年7月26日","2,010.85","2,013.19","2,021.57","2,000.80","7.38B","-0.51%"
"2013年7月25日","2,021.17","2,037.34","2,045.37","2,016.43","9.85B","-0.60%"
"2013年7月24日","2,033.33","2,035.69","2,042.77","2,010.42","10.67B","-0.52%"
